v2	I(I1)	I(I2)
Step Information: V3=2.5  (Run: 1/3)
5.000000000000000e-001	5.334208e-006	2.093329e-009
Step Information: V3=3.5  (Run: 2/3)
-5.000000000000000e-001	2.008756e-009	5.356184e-006
-4.900000000000000e-001	2.725676e-009	5.355469e-006
-4.800000000000000e-001	3.694525e-009	5.354502e-006
-4.700000000000000e-001	4.999730e-009	5.353200e-006
-4.600000000000000e-001	6.750819e-009	5.351453e-006
-4.500000000000000e-001	9.087580e-009	5.349121e-006
-4.400000000000000e-001	1.218478e-008	5.346031e-006
-4.299999999999999e-001	1.625533e-008	5.341969e-006
-4.199999999999999e-001	2.155073e-008	5.336685e-006
-4.099999999999999e-001	2.835729e-008	5.329894e-006
-3.999999999999999e-001	3.698766e-008	5.321282e-006
-3.899999999999999e-001	4.776782e-008	5.310525e-006
-3.799999999999999e-001	6.102116e-008	5.297300e-006
-3.699999999999999e-001	7.705216e-008	5.281303e-006
-3.599999999999999e-001	9.613206e-008	5.262264e-006
-3.499999999999999e-001	1.184886e-007	5.239955e-006
-3.399999999999999e-001	1.443004e-007	5.214197e-006
-3.299999999999999e-001	1.736957e-007	5.184864e-006
-3.199999999999998e-001	2.067545e-007	5.151874e-006
-3.099999999999998e-001	2.435131e-007	5.115191e-006
-2.999999999999998e-001	2.839696e-007	5.074818e-006
-2.899999999999998e-001	3.280901e-007	5.030788e-006
-2.799999999999998e-001	3.758141e-007	4.983161e-006
-2.699999999999998e-001	4.270603e-007	4.932019e-006
-2.599999999999998e-001	4.817305e-007	4.877459e-006
-2.499999999999998e-001	5.397139e-007	4.819592e-006
-2.399999999999998e-001	6.008904e-007	4.758538e-006
-2.299999999999998e-001	6.651329e-007	4.694423e-006
-2.199999999999998e-001	7.323094e-007	4.627380e-006
-2.099999999999997e-001	8.022850e-007	4.557543e-006
-1.999999999999997e-001	8.749230e-007	4.485049e-006
-1.899999999999997e-001	9.500858e-007	4.410035e-006
-1.799999999999997e-001	1.027636e-006	4.332638e-006
-1.699999999999997e-001	1.107436e-006	4.252995e-006
-1.599999999999997e-001	1.189349e-006	4.171243e-006
-1.499999999999997e-001	1.273242e-006	4.087517e-006
-1.399999999999997e-001	1.358980e-006	4.001948e-006
-1.299999999999997e-001	1.446432e-006	3.914670e-006
-1.199999999999997e-001	1.535466e-006	3.825813e-006
-1.099999999999997e-001	1.625955e-006	3.735505e-006
-9.999999999999969e-002	1.717770e-006	3.643874e-006
-8.999999999999969e-002	1.810786e-006	3.551045e-006
-7.999999999999970e-002	1.904879e-006	3.457143e-006
-6.999999999999970e-002	1.999926e-006	3.362291e-006
-5.999999999999970e-002	2.095804e-006	3.266610e-006
-4.999999999999970e-002	2.192393e-006	3.170222e-006
-3.999999999999970e-002	2.289574e-006	3.073245e-006
-2.999999999999969e-002	2.387226e-006	2.975800e-006
-1.999999999999969e-002	2.485232e-006	2.878005e-006
-9.999999999999691e-003	2.583474e-006	2.779977e-006
3.087807787238717e-016	2.681834e-006	2.681834e-006
1.000000000000031e-002	2.780195e-006	2.583693e-006
2.000000000000031e-002	2.878440e-006	2.485672e-006
3.000000000000031e-002	2.976451e-006	2.387888e-006
4.000000000000031e-002	3.074111e-006	2.290459e-006
5.000000000000032e-002	3.171302e-006	2.193502e-006
6.000000000000032e-002	3.267905e-006	2.097136e-006
