v2	I(I1)	I(I2)
Step Information: V3=2.5  (Run: 1/3)
5.000000000000000e-001	2.423379e-005	3.499514e-006
Step Information: V3=3.5  (Run: 2/3)
-5.000000000000000e-001	3.544158e-006	2.428818e-005
-4.900000000000000e-001	3.710642e-006	2.412239e-005
-4.800000000000000e-001	3.879843e-006	2.395388e-005
-4.700000000000000e-001	4.051696e-006	2.378273e-005
-4.600000000000000e-001	4.226119e-006	2.360902e-005
-4.500000000000000e-001	4.403036e-006	2.343282e-005
-4.400000000000000e-001	4.582372e-006	2.325420e-005
-4.299999999999999e-001	4.764056e-006	2.307325e-005
-4.199999999999999e-001	4.948015e-006	2.289002e-005
-4.099999999999999e-001	5.134179e-006	2.270460e-005
-3.999999999999999e-001	5.322479e-006	2.251705e-005
-3.899999999999999e-001	5.512848e-006	2.232743e-005
-3.799999999999999e-001	5.705220e-006	2.213581e-005
-3.699999999999999e-001	5.899529e-006	2.194226e-005
-3.599999999999999e-001	6.095711e-006	2.174684e-005
-3.499999999999999e-001	6.293703e-006	2.154962e-005
-3.399999999999999e-001	6.493444e-006	2.135065e-005
-3.299999999999999e-001	6.694873e-006	2.115000e-005
-3.199999999999998e-001	6.897930e-006	2.094772e-005
-3.099999999999998e-001	7.102557e-006	2.074388e-005
-2.999999999999998e-001	7.308694e-006	2.053853e-005
-2.899999999999998e-001	7.516286e-006	2.033174e-005
-2.799999999999998e-001	7.725275e-006	2.012354e-005
-2.699999999999998e-001	7.935608e-006	1.991401e-005
-2.599999999999998e-001	8.147228e-006	1.970320e-005
-2.499999999999998e-001	8.360083e-006	1.949115e-005
-2.399999999999998e-001	8.574119e-006	1.927793e-005
-2.299999999999998e-001	8.789283e-006	1.906358e-005
-2.199999999999998e-001	9.005524e-006	1.884816e-005
-2.099999999999997e-001	9.222790e-006	1.863171e-005
-1.999999999999997e-001	9.441031e-006	1.841430e-005
-1.899999999999997e-001	9.660196e-006	1.819596e-005
-1.799999999999997e-001	9.880237e-006	1.797676e-005
-1.699999999999997e-001	1.010110e-005	1.775673e-005
-1.599999999999997e-001	1.032275e-005	1.753593e-005
-1.499999999999997e-001	1.054512e-005	1.731440e-005
-1.399999999999997e-001	1.076817e-005	1.709220e-005
-1.299999999999997e-001	1.099186e-005	1.686936e-005
-1.199999999999997e-001	1.121613e-005	1.664594e-005
-1.099999999999997e-001	1.144094e-005	1.642199e-005
-9.999999999999969e-002	1.166624e-005	1.619755e-005
-8.999999999999969e-002	1.189200e-005	1.597267e-005
-7.999999999999970e-002	1.211815e-005	1.574739e-005
-6.999999999999970e-002	1.234465e-005	1.552176e-005
-5.999999999999970e-002	1.257147e-005	1.529582e-005
-4.999999999999970e-002	1.279855e-005	1.506963e-005
-3.999999999999970e-002	1.302585e-005	1.484322e-005
-2.999999999999969e-002	1.325332e-005	1.461663e-005
-1.999999999999969e-002	1.348092e-005	1.438993e-005
-9.999999999999691e-003	1.370861e-005	1.416315e-005
3.087807787238717e-016	1.393633e-005	1.393633e-005
1.000000000000031e-002	1.416405e-005	1.370952e-005
2.000000000000031e-002	1.439171e-005	1.348277e-005
3.000000000000031e-002	1.461929e-005	1.325612e-005
4.000000000000031e-002	1.484672e-005	1.302961e-005
5.000000000000032e-002	1.507396e-005	1.280329e-005
6.000000000000032e-002	1.530098e-005	1.257721e-005
7.000000000000031e-002	1.552772e-005	1.235141e-005
8.000000000000031e-002	1.575415e-005	1.212593e-005
9.000000000000030e-002	1.598020e-005	1.190082e-005
1.000000000000003e-001	1.620585e-005	1.167613e-005
1.100000000000003e-001	1.643104e-005	1.145190e-005
1.200000000000003e-001	1.665573e-005	1.122817e-005
1.300000000000003e-001	1.687987e-005	1.100500e-005
1.400000000000003e-001	1.710342e-005	1.078243e-005
1.500000000000003e-001	1.732633e-005	1.056050e-005
1.600000000000003e-001	1.754855e-005	1.033927e-005
1.700000000000003e-001	1.777003e-005	1.011878e-005
1.800000000000003e-001	1.799074e-005	9.899069e-006
1.900000000000003e-001	1.821062e-005	9.680198e-006
2.000000000000003e-001	1.842962e-005	9.462210e-006
2.100000000000004e-001	1.864769e-005	9.245155e-006
2.200000000000004e-001	1.886479e-005	9.029081e-006
2.300000000000004e-001	1.908086e-005	8.814037e-006
2.400000000000004e-001	1.929586e-005	8.600075e-006
2.500000000000004e-001	1.950973e-005	8.387244e-006
2.600000000000004e-001	1.972243e-005	8.175595e-006
2.700000000000004e-001	1.993390e-005	7.965182e-006
2.800000000000004e-001	2.014409e-005	7.756055e-006
2.900000000000004e-001	2.035295e-005	7.548269e-006
3.000000000000004e-001	2.056042e-005	7.341876e-006
3.100000000000004e-001	2.076645e-005	7.136931e-006
3.200000000000005e-001	2.097099e-005	6.933490e-006
3.300000000000005e-001	2.117397e-005	6.731608e-006
3.400000000000005e-001	2.137534e-005	6.531343e-006
3.500000000000005e-001	2.157505e-005	6.332752e-006
3.600000000000005e-001	2.177303e-005	6.135893e-006
3.700000000000005e-001	2.196923e-005	5.940827e-006
3.800000000000005e-001	2.216358e-005	5.747613e-006
3.900000000000005e-001	2.235603e-005	5.556313e-006
4.000000000000005e-001	2.254651e-005	5.366990e-006
4.100000000000005e-001	2.273496e-005	5.179707e-006
4.200000000000005e-001	2.292131e-005	4.994530e-006
4.300000000000006e-001	2.310550e-005	4.811523e-006
4.400000000000006e-001	2.328746e-005	4.630755e-006
4.500000000000006e-001	2.346712e-005	4.452292e-006
4.600000000000006e-001	2.364441e-005	4.276206e-006
4.700000000000006e-001	2.381927e-005	4.102567e-006
4.800000000000006e-001	2.399162e-005	3.931447e-006
4.900000000000006e-001	2.416138e-005	3.762920e-006
5.000000000000000e-001	2.432849e-005	3.597060e-006
Step Information: V3=4.5  (Run: 3/3)
-5.000000000000000e-001	3.655410e-006	2.435700e-005
-4.900000000000000e-001	3.822833e-006	2.419007e-005
-4.800000000000000e-001	3.992883e-006	2.402051e-005
-4.700000000000000e-001	4.165493e-006	2.384840e-005
-4.600000000000000e-001	4.340586e-006	2.367382e-005
-4.500000000000000e-001	4.518088e-006	2.349683e-005
-4.400000000000000e-001	4.697928e-006	2.331752e-005
-4.299999999999999e-001	4.880034e-006	2.313594e-005
-4.199999999999999e-001	5.064339e-006	2.295218e-005
-4.099999999999999e-001	5.250773e-006	2.276630e-005
-3.999999999999999e-001	5.439270e-006	2.257836e-005
-3.899999999999999e-001	5.629766e-006	2.238842e-005
-3.799999999999999e-001	5.822195e-006	2.219656e-005
-3.699999999999999e-001	6.016496e-006	2.200284e-005
-3.599999999999999e-001	6.212605e-006	2.180732e-005
-3.499999999999999e-001	6.410462e-006	2.161005e-005
-3.399999999999999e-001	6.610008e-006	2.141110e-005
-3.299999999999999e-001	6.811184e-006	2.121053e-005
-3.199999999999998e-001	7.013931e-006	2.100840e-005
-3.099999999999998e-001	7.218193e-006	2.080475e-005
-2.999999999999998e-001	7.423914e-006	2.059966e-005
-2.899999999999998e-001	7.631039e-006	2.039316e-005
-2.799999999999998e-001	7.839512e-006	2.018533e-005
-2.699999999999998e-001	8.049282e-006	1.997620e-005
-2.599999999999998e-001	8.260293e-006	1.976584e-005
-2.499999999999998e-001	8.472495e-006	1.955430e-005
-2.399999999999998e-001	8.685836e-006	1.934162e-005
-2.299999999999998e-001	8.900265e-006	1.912786e-005
-2.199999999999998e-001	9.115732e-006	1.891307e-005
-2.099999999999997e-001	9.332186e-006	1.869730e-005
-1.999999999999997e-001	9.549579e-006	1.848059e-005
-1.899999999999997e-001	9.767862e-006	1.826300e-005
-1.799999999999997e-001	9.986988e-006	1.804457e-005
-1.699999999999997e-001	1.020691e-005	1.782536e-005
-1.599999999999997e-001	1.042757e-005	1.760541e-005
-1.499999999999997e-001	1.064894e-005	1.738476e-005
-1.399999999999997e-001	1.087096e-005	1.716346e-005
-1.299999999999997e-001	1.109359e-005	1.694156e-005
-1.199999999999997e-001	1.131678e-005	1.671910e-005
-1.099999999999997e-001	1.154048e-005	1.649614e-005
-9.999999999999969e-002	1.176466e-005	1.627271e-005
-8.999999999999969e-002	1.198926e-005	1.604886e-005
-7.999999999999970e-002	1.221425e-005	1.582463e-005
-6.999999999999970e-002	1.243957e-005	1.560007e-005
-5.999999999999970e-002	1.266518e-005	1.537522e-005
-4.999999999999970e-002	1.289105e-005	1.515013e-005
-3.999999999999970e-002	1.311712e-005	1.492484e-005
-2.999999999999969e-002	1.334335e-005	1.469940e-005
-1.999999999999969e-002	1.356969e-005	1.447384e-005
-9.999999999999691e-003	1.379612e-005	1.424822e-005
3.087807787238717e-016	1.402257e-005	1.402257e-005
1.000000000000031e-002	1.424900e-005	1.379693e-005
2.000000000000031e-002	1.447539e-005	1.357137e-005
3.000000000000031e-002	1.470167e-005	1.334590e-005
4.000000000000031e-002	1.492781e-005	1.312059e-005
5.000000000000032e-002	1.515376e-005	1.289546e-005
6.000000000000032e-002	1.537948e-005	1.267058e-005
7.000000000000031e-002	1.560493e-005	1.244597e-005
8.000000000000031e-002	1.583006e-005	1.222168e-005
9.000000000000030e-002	1.605483e-005	1.199776e-005
1.000000000000003e-001	1.627919e-005	1.177426e-005
1.100000000000003e-001	1.650310e-005	1.155120e-005
1.200000000000003e-001	1.672652e-005	1.132865e-005
1.300000000000003e-001	1.694941e-005	1.110664e-005
1.400000000000003e-001	1.717171e-005	1.088522e-005
1.500000000000003e-001	1.739338e-005	1.066443e-005
1.600000000000003e-001	1.761438e-005	1.044432e-005
1.700000000000003e-001	1.783466e-005	1.022493e-005
1.800000000000003e-001	1.805418e-005	1.000631e-005
1.900000000000003e-001	1.827289e-005	9.788510e-006
2.000000000000003e-001	1.849074e-005	9.571570e-006
2.100000000000004e-001	1.870769e-005	9.355540e-006
2.200000000000004e-001	1.892368e-005	9.140465e-006
2.300000000000004e-001	1.913868e-005	8.926395e-006
2.400000000000004e-001	1.935263e-005	8.713377e-006
2.500000000000004e-001	1.956549e-005	8.501460e-006
2.600000000000004e-001	1.977720e-005	8.290693e-006
2.700000000000004e-001	1.998772e-005	8.081125e-006
2.800000000000004e-001	2.019700e-005	7.872809e-006
2.900000000000004e-001	2.040498e-005	7.665793e-006
3.000000000000004e-001	2.061161e-005	7.460130e-006
3.100000000000004e-001	2.081684e-005	7.255872e-006
3.200000000000005e-001	2.102062e-005	7.053072e-006
3.300000000000005e-001	2.122290e-005	6.851784e-006
3.400000000000005e-001	2.142361e-005	6.652062e-006
3.500000000000005e-001	2.162271e-005	6.453962e-006
3.600000000000005e-001	2.182014e-005	6.257539e-006
3.700000000000005e-001	2.201584e-005	6.062850e-006
3.800000000000005e-001	2.220976e-005	5.869954e-006
3.900000000000005e-001	2.240183e-005	5.678909e-006
